Rank,Peak,Title,Worldwide gross,Year
1,1,"$2,923,710,708",2009,
2,1,"$2,797,501,328",2019,
3,3,"$2,334,484,620",2022,
4,1,"T$2,257,906,828",1997,
5,5,"NZ$2,215,690,000",2025,
6,3,"$2,068,223,624",2015,
7,4,"$2,048,359,754",2018,
8,6,"SM$1,922,598,800",2021,
9,9,"$1,866,647,950",2025,
10,8,"$1,698,863,816",2024,
11,3,"$1,671,537,444",2015,
12,7,"$1,656,943,394",2019,
13,3,"$1,518,815,515",2012,
14,4,"$1,515,341,399",2015,
15,11,"$1,503,260,455",2022,
16,16,"$1,485,999,890",2025,
17,10,"$1,450,026,933",2019,
18,14,"$1,447,138,421",2023,
19,5,"$1,402,809,540",2015,
20,15,"$1,360,783,214",2023,
21,9,"$1,347,280,838",2018,
22,3,"$1,342,139,727",2011,
23,20,"$1,338,073,645",2024,
24,9,"$1,332,539,889",2017,
25,12,"$1,308,476,166",2018,
26,5,"F$1,290,000,000",2013,
27,10,"$1,263,521,126",2017,
28,15,"$1,242,805,359",2018,
29,11,"F8$1,238,764,765",2017,
30,5,"$1,214,811,252",2013,
31,10,"$1,159,444,662",2015,
32,12,"$1,153,337,496",2016,
33,20,"$1,148,528,393",2018,
34,2,"$1,147,997,407",2003,
35,24RK,"$1,132,679,685",2019,
36,23RK,"$1,128,274,794",2019,
37,5RK,"$1,123,794,079",2011,
38,7,"$1,108,594,137",2012,
39,10,"$1,104,054,072",2014,
40,7,"DKR$1,081,169,825",2012,
41,31,"$1,074,458,282",2019,
42,32,"$1,074,144,248",2019,
43,30,"$1,073,394,593",2019,
44,4TS3,"$1,066,970,811",2010,
45,3,"$1,066,179,747",2006,
46,44,"$1,059,242,164",2024,
47,20,"$1,057,420,387",2016,
48,34,"$1,050,693,953",2019,
49,2,"$1,046,515,409",1999,
50,6,"$1,045,713,802",2011,
