City[a],Country,UN 2025 population estimates[11],City proper[b],Urban area[12],Metropolitan area[c]
Indonesia,"41,913,860",Special region,"10,154,134",664,"15,292"
Bangladesh,"36,585,479",Capital city,"10,295,407",338,"30,460"
Japan,"33,412,512",Metropolis prefecture,"13,515,271","2,191","6,169"
India,"30,222,405",National Capital Territory,"16,753,235","1,484","11,289"
China,"29,558,908",Municipality,"24,870,895","6,341","3,922"
China,"27,563,372",City(sub-provincial),"18,676,605","7,434","2,512"
Egypt,"25,566,102",Urban governorate,"10,044,894","3,085","3,256"
Philippines,"24,735,305",National Capital Region,"15,531,900",636,"24,421"
India,"22,549,738",Municipal corporation,"4,496,694",206,"21,829"
South Korea,"22,490,482",Special city,"10,013,781",605,"16,552"
Pakistan,"21,422,590",Metropolitan city,"15,738,000",591,"26,629"
India,"20,203,056",Municipal corporation,"12,478,447",603,"20,694"
Brazil,"18,949,790",Municipality,"12,252,023","1,521","8,055"
Thailand,"18,180,280",Special administrative area,"8,305,218","1,569","5,293"
Mexico,"17,734,212",City-state,"9,209,944","1,485","6,202"
China,"17,013,303",Municipality,"21,893,095","16,411","1,334"
Pakistan,"15,156,430",Metropolitan city,"13,004,135","1,772","7,339"
Turkey,"15,014,763",Metropolitan municipality,"15,519,267","5,196","2,987"
Russia,"14,524,753",Federal city,"13,200,000","2,511","5,257"
Vietnam,"14,052,713",Municipality,"7,431,000","2,061","3,606"
Argentina,"14,017,736",Autonomous city,"3,054,300",203,"15,046"
United States,"13,920,148",City,"8,804,190",778,"11,316"
China,"13,878,396",City(sub-provincial),"17,494,398","2,050","8,534"
India,"13,187,098",Municipal corporation,"8,443,675",709,"11,909"
Japan,"12,964,145",Designated city,"2,725,006",225,"12,111"
Nigeria,"12,791,699",Metropolitan city,—N/a,—N/a,—N/a
United States,"12,740,420",City,"3,990,456","1,214","3,287"
India,"11,153,205",Municipal corporation,"6,727,000",426,"15,791"
DR Congo,"10,943,641",City-province,"17,071,000","9,965","1,713"
Colombia,"10,624,315",Capital District,"7,963,000","1,587","5,018"
Peru,"10,580,241",Metropolitan municipality,"8,894,000","2,672","3,329"
United Kingdom,"10,416,420",Administrative area,"8,825,001","1,572","5,614"
Brazil,"9,500,336",Municipality,"6,520,000","1,221","5,340"
France,"9,381,921",Commune,"2,148,271",105,"20,460"
India,"9,190,795",Municipal corporation,"6,993,262",650,"10,759"
Iran,"9,174,964",Capital city,"9,033,003",751,"12,028"
Angola,"9,051,000",Municipality,"2,165,867",116,"18,671"
Indonesia,"8,909,104",City,"2,528,160",167,"15,176"
Malaysia,"8,443,731",Capital city,"1,768,000",243,"7,276"
Tanzania,"7,795,114",City,"5,383,728","1,393","3,865"
China,"7,731,101",Prefecture-level city,"12,748,262","8,488","1,502"
India,"7,632,408",Municipal corporation,"5,570,585",464,"12,006"
China,"7,500,208",City(sub-provincial),"11,936,010","16,596",719
China,"7,363,548",City(sub-provincial),"12,447,718","8,494","1,465"
China,"7,285,342",Municipality,"13,866,009","11,920","1,163"
Egypt,"7,266,957",Urban governorate,"5,441,866","2,300","2,366"
Japan,"7,146,160",Designated city,"2,320,361",326,"7,118"
South Africa,"7,077,175",Metropolitan municipality,"4,803,262","1,643","2,924"
China,"7,071,073",Municipality,"32,054,159","82,403",389
Saudi Arabia,"6,916,417",Municipality,"6,694,000","1,913","3,499"
India,"6,908,925",Municipal corporation,"4,466,826",327,"13,660"
Indonesia,"6,843,503",City,"3,018,022",336,"8,984"
India,"6,817,951",Municipal corporation,"3,124,458",485,"6,447"
Sudan,"6,809,355",—N/a,"1,410,858",—N/a,—N/a
China,"6,800,676",City(sub-provincial),"9,314,685","6,582","1,415"
Chile,"6,726,045",City(commune),"236,453",22,"10,748"
United States,"8,864,000",City,"2,746,388",589,"4,663"
China,"8,813,000",City(sub-provincial),"20,937,757","14,378","1,456"
China,"7,444,000",City(sub-provincial),"12,183,280","10,135","1,202"
Hong Kong SAR,"7,429,000",City,"7,298,600","1,104","6,611"
China,"7,360,000",Prefecture-level city,"10,466,625","2,465","4,246"
China,"7,236,000",Prefecture-level city,"9,498,863","3,848","2,469"
China,"6,921,000",City(sub-provincial),"8,294,000","12,980",639
Iraq,"6,812,000",Urban governorate,"8,126,755","5,200","1,563"
Spain,"6,497,000",Municipality,"3,266,126",606,"5,390"
China,"6,115,000",City(sub-provincial),"10,635,971","53,068",200
United States,"6,115,000",City,"2,325,502","1,553","1,497"
United States,"6,099,000",City,"1,345,047",882,"1,525"
Canada,"6,082,000",City,"2,731,571",630,"4,336"
United States,"6,036,000",City,"470,914",93,"5,069"
Brazil,"5,972,000",City,"2,502,557",331,"7,563"
Singapore,"5,792,000",Country,"5,638,700",726,"7,770"
United States,"5,695,000",Consolidated city-county,"1,526,006",370,"4,129"
United States,"5,572,000",City,"498,715",354,"1,408"
Japan,"5,551,000",Designated city,"1,588,924",343,"4,627"
Spain,"5,494,000",Municipality,"1,620,343",101,"15,980"
Russia,"5,383,000",Federal city,"5,601,911","1,400","4,001"
China,"5,381,000",City(sub-provincial),"10,071,722","11,229",897
China,"5,300,000",City(sub-provincial),"7,450,785","13,742",542
United States,"5,207,000",Federal district,"702,455",177,"3,969"
Myanmar,"5,157,000",City,"4,728,524",—N/a,—N/a
China,"5,052,000",City(sub-provincial),"9,202,432","10,244",898
Mexico,"5,023,000",Municipality,"1,385,621",151,"9,176"
