Team,Summer Olympic Games,Winter Olympic Games,Combined total
Afghanistan,16,0,0
Albania,10,0,0
Algeria,15,7,4
Argentina,26,22,27
Armenia,8,2,11
Australasia,2,3,4
Australia,28,182,192
Austria,29,22,35
Azerbaijan,8,9,16
Bahamas,18,8,2
Bahrain,11,4,3
Barbados,14,0,0
Belarus,7,13,30
Belgium,28,47,57
Bermuda,20,1,0
Bohemia,3,0,1
Botswana,12,1,2
Brazil,24,40,49
British West Indies,1,0,0
Bulgaria,22,57,89
Burkina Faso,11,0,0
Burundi,8,1,1
Cameroon,16,3,1
Canada,28,80,117
Cape Verde,8,0,0
Chile,25,3,8
China,12,303,226
Colombia,21,5,16
Costa Rica,17,1,1
Ivory Coast,15,1,1
Croatia,9,16,15
Cuba,22,86,70
Cyprus,12,0,2
Czech Republic,8,22,22
Czechoslovakia,16,49,49
Denmark,29,50,80
Djibouti,10,0,0
Dominica,8,1,0
Dominican Republic,16,4,5
Ecuador,16,4,4
Egypt,24,9,12
Eritrea,7,0,0
Estonia,14,10,9
Ethiopia,15,24,16
Fiji,16,2,1
Finland,27,101,85
France,30,239,278
Gabon,12,0,1
Georgia,8,13,15
Germany,18,213,220
United Team of Germany,3,28,54
East Germany,5,153,129
West Germany,5,56,67
Ghana,16,0,1
Great Britain,30,298,339
Greece,30,36,46
Grenada,11,1,1
Guatemala,15,1,1
Guyana,19,0,0
Haiti,17,0,1
Hong Kong,18,4,3
Hungary,28,187,161
Iceland,22,0,2
India,26,10,10
Indonesia,17,10,14
Iran,18,27,29
Iraq,16,0,0
Ireland,23,15,10
Israel,18,4,6
Italy,29,229,201
Jamaica,19,27,39
Japan,24,189,162
Jordan,12,1,2
Kazakhstan,8,15,25
Kenya,16,39,44
Kosovo,3,3,1
North Korea,11,16,18
South Korea,19,109,100
Kuwait,14,0,0
Kyrgyzstan,8,0,5
Latvia,13,4,11
Lebanon,19,0,2
Liechtenstein,19,0,0
Lithuania,11,6,9
Luxembourg,26,2,1
Malaysia,15,0,8
Mauritius,11,0,0
Mexico,25,13,27
Moldova,8,0,3
Mongolia,15,2,12
Montenegro,5,0,1
Morocco,16,8,5
Mozambique,12,1,0
Namibia,9,0,5
Netherlands,28,111,112
Netherlands Antilles,13,0,1
New Zealand,25,63,40
Niger,14,0,1
Nigeria,18,3,11
North Macedonia(MKD),8,0,1
Norway,28,65,53
Pakistan,19,4,3
Panama,19,1,1
Paraguay,14,0,1
Peru,20,1,3
Philippines,23,3,5
Poland,23,73,93
Portugal,26,6,11
Puerto Rico,20,2,2
Qatar,11,2,2
Refugee Olympic Team,3,0,0
Romania,23,93,101
Russia,6,147,125
Russian Empire,3,1,4
Soviet Union,9,395,319
Unified Team,1,45,38
Olympic Athletes from Russia,0,0,0
ROC(ROC),1,20,28
Samoa,11,0,1
Saint Lucia,8,1,1
San Marino,16,0,1
Saudi Arabia,13,0,2
Senegal,16,0,1
Serbia,6,9,8
Serbia and Montenegro,3,2,4
Singapore,18,1,2
Slovakia,8,10,14
Slovenia,9,10,10
South Africa,21,28,36
Spain,25,53,76
Sri Lanka,19,0,2
Sudan,14,0,1
Suriname,14,1,0
Sweden,29,151,181
Switzerland,30,54,81
Syria,15,1,1
Chinese Taipei,16,9,11
Tajikistan,8,1,1
Tanzania,15,0,2
Thailand,18,11,11
Togo,12,0,0
Tonga,11,0,1
Trinidad and Tobago,19,3,5
Tunisia,16,6,4
Turkey,24,41,29
Turkmenistan,8,0,1
Uganda,17,5,5
Ukraine,8,38,41
United Arab Emirates,11,1,0
United States,29,"1,105",879
Uruguay,23,2,2
Uzbekistan,8,18,8
Venezuela,20,3,7
Vietnam,17,1,3
Virgin Islands,14,0,1
Yugoslavia,16,26,29
Zambia,15,0,1
Zimbabwe,15,3,4
Individual Neutral Athletes,1,1,3
Independent Olympic Athletes,3,1,0
Independent Olympic Participants,1,0,1
Mixed team,3,11,6
